doi,title,year,sensors,algorithms,applications,environments,accuracy_m,accuracy_pct,accuracy_unit_original,accuracy_text_match
10.1109/IROS60139.2025.11247122,Visual Localization with Offline Google Satellite Map-Assisted for Ground Vehicles in GNSS-Denied Environment,2025,Camera; GNSS/GPS,Visual Odometry,Spacecraft,Urban; Real-World,0.29,,m,root mean square error of 0.290m
10.1109/MetroAeroSpace.2019.8869587,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,2019,Radar; GNSS/GPS; BLE/Bluetooth,,UAV/Drone,,0.36,,cm,RMSE under 36 cm
10.1109/ICL-GNSS51451.2021.9452247,WALLSY: The UWB and SmartMesh IP enabled Wireless Ad-hoc Low-power Localization System,2021,IMU; UWB; GNSS/GPS,,Inspection,,0.605,,cm,error of 60.5cm
10.1109/CCDC69976.2026.11560181,Adaptive Visual-Inertial Fusion for GNSS-Denied Environments Using Factor Graph Optimization,2026,Camera; IMU; GNSS/GPS,EKF; Factor Graph; Visual Odometry; Visual-Inertial Odometry,Spacecraft,,0.5,,m,RMSE of 0.50 m
10.1109/LSENS.2023.3312991,Dynamic Nodes Based Cooperative Positioning of D2D Systems in GNSS-Denied Environments,2023,GNSS/GPS,,Multi-Robot/Swarm; Spacecraft,Simulation,0.2017,,m,localization error of 0.2017 m
10.1109/JRFID.2022.3186852,A Cost-Efficient Hybrid UHF RFID and Odometry-Based Mobile Robot Self-Localization Technique With Centimeter Precision,2022,,UKF,UGV,Indoor; Simulation; Real-World,0.027000000000000003,,cm,localization error of 2.7 cm
10.1109/ROBIO49542.2019.8961750,Mobile Robot Localization Based On Low-Cost LTE And Odometry In GPS-Denied Outdoor Environment,2019,WiFi; Wheel Encoder; GNSS/GPS,Particle Filter,UGV,Outdoor; Urban; Real-World,13.07,,m,RMSE of 13.07m
10.1109/CASE56687.2023.10260572,Infradar-Localization: Single-Chip Infrared- and Radar-Based Monte Carlo Localization,2023,IMU; Radar,Particle Filter,Indoor Robot,Indoor; Outdoor,0.09,,cm,localization error of 9 cm
10.1109/GCWkshps68340.2025.11590939,A Multimodal Deep Learning Approach for Continuous Ranging Estimation in GNSS-Denied Environments,2025,GNSS/GPS,Deep Learning,Inspection; Spacecraft,,13.76,,m,error of 13.76 m
10.1109/I2MTC62753.2025.11079147,GVIR: A GNSS-Visual-Inertial-Range Sensor Fusion Approach for Seamless Indoor-Outdoor Robot Localization,2025,Camera; Monocular; IMU; UWB; GNSS/GPS,Factor Graph; Visual-Inertial Odometry,Spacecraft,Indoor; Outdoor,0.329,,m,accuracy of 0.329m
10.1109/ICL-GNSS.2017.8376248,Monte Carlo localization algorithm for indoor positioning using Bluetooth low energy devices,2017,IMU; Magnetometer; BLE/Bluetooth,Particle Filter,Generic/Other,Indoor,3.0,,m,average error is 3 m
